arm,index,model,prompt_tokens,frontend_wait_s,local_scheduler_wait_s,prefill_wait_s,actual_prefill_service_s,decode_start_wait_s,ttft_s,tpot_s,e2e_s
D0,145,model_6,215,0.0008754730224609375,0.010201692581176758,0.09234738349914551,0.02826547622680664,0.49687862396240234,0.13169002532958984,0.061105355620384216,1.1093757152557373
D0,146,model_5,13,0.0007760524749755859,0.006993293762207031,0.44823336601257324,0.03838968276977539,0.07706356048583984,0.49439239501953125,0.07591777377658421,9.376771926879883
D0,147,model_2,247,0.0008215904235839844,0.007786989212036133,0.25429534912109375,0.023748159408569336,0.016938209533691406,0.2866520881652832,0.033607618883252144,4.588427305221558
D0,148,model_1,74,0.000392913818359375,0.0030465126037597656,0.22610974311828613,0.021094560623168945,0.015552520751953125,0.2506437301635742,0.02937689034835152,4.304654598236084
D0,149,model_5,15,0.0005240440368652344,0.008072614669799805,0.21546292304992676,0.03160834312438965,0.040116310119628906,0.25566792488098145,0.05711614384370692,1.226642370223999
D0,150,model_1,336,0.0011777877807617188,0.004801034927368164,0.014745473861694336,0.03695821762084961,0.019919157028198242,0.05768251419067383,0.01797609031200409,0.34529995918273926
D0,151,model_5,18,0.0006582736968994141,0.008435487747192383,0.033499717712402344,0.0418553352355957,0.02593541145324707,0.08444881439208984,0.06833915450634101,21.406265020370483
D0,152,model_4,489,0.0008859634399414062,0.010847806930541992,0.01614856719970703,0.06793212890625,0.027019500732421875,0.09581446647644043,0.0423338528602354,2.720513343811035
D0,153,model_2,292,0.0009489059448242188,0.01094675064086914,0.021744966506958008,0.04041290283203125,0.018192291259765625,0.07405352592468262,0.026267722249031067,0.4943370819091797
D0,154,model_5,19,0.0004031658172607422,0.008793115615844727,0.02980637550354004,0.037715911865234375,0.03650999069213867,0.07671856880187988,0.06886430973178344,14.744816541671753
D0,155,model_5,407,0.00044989585876464844,0.0007560253143310547,0.02050304412841797,0.06871199607849121,0.055484771728515625,0.09042096138000488,0.10331703722476959,1.7434935569763184
D0,156,model_4,242,0.0008819103240966797,0.006652355194091797,0.2886354923248291,0.01895880699157715,0.025812864303588867,0.3151285648345947,0.04260726893941561,16.67631983757019
D0,157,model_1,8,0.00055694580078125,0.0036897659301757812,0.049566030502319336,0.018489837646484375,0.2319164276123047,0.07230257987976074,0.029469223289222985,4.2864015102386475
D0,158,model_2,370,0.0007486343383789062,0.004954099655151367,0.2134561538696289,0.021713972091674805,0.024013519287109375,0.24087285995483398,0.031440632683890204,0.9011261463165283
D0,159,model_6,379,0.0006389617919921875,0.0002777576446533203,0.15115070343017578,0.20696616172790527,0.03913450241088867,0.35903358459472656,0.04461367668644074,1.7420575618743896
D0,160,model_5,210,0.0005154609680175781,0.0026307106018066406,0.07938599586486816,0.05491900444030762,0.25684666633605957,0.137451171875,0.06892098035567847,13.5770423412323
D0,161,model_6,650,0.0012445449829101562,0.010537385940551758,0.0646963119506836,0.20704889297485352,0.03905367851257324,0.283527135848999,0.04433747008442879,3.1211252212524414
